date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:35:12	89417/89417	---M--	200	added ('OK')	text/html	etag:%221f492dc42671410b78f2a47337b6d3f0%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index.html	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index.html	(from )
23:35:13	538/538	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Apr%202019%2012:35:12%20GMT	http://themevessel-item.s3-website-us-east-1.amazonaws.com/robots.txt		(from )
23:35:13	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2002%20Apr%202019%2012:35:15%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/dhruval/websites/sample4/www.googletagmanager.com/gtm.15445.delayed	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index.html)
23:35:17	167154/167154	---M--	200	added ('OK')	text/css	etag:%2215c69b50bc46b1666b97c3c5b5eba4fb%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/bootstrap.min.css	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/bootstrap.min.css	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index.html)
23:35:19	7532/7532	---M--	200	added ('OK')	text/css	etag:%22c2afae39385eee5521e931eb36ba8179%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/magnific-popup.css	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/magnific-popup.css	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index.html)
23:35:19	4484/4484	---M--	200	added ('OK')	text/css	etag:%22dd171ffa474da4c5b3f0d1525d4941d6%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/jquery.selectBox.css	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/jquery.selectBox.css	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index.html)
23:35:20	11542/11542	---M--	200	added ('OK')	text/css	etag:%228b6c7282340f2f62e4acb5d5827779ba%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/dropzone.css	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/dropzone.css	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index.html)
23:35:21	1909/1909	---M--	200	added ('OK')	text/css	etag:%22f5415659b3f6621c6fc8071f3e50ad8f%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/rangeslider.css	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/rangeslider.css	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index.html)
23:35:24	76373/76373	---M--	200	added ('OK')	text/css	etag:%22d11ac1f04a7baaae9b5af32f76027d3f%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/animate.min.css	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/animate.min.css	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index.html)
23:35:25	10119/10119	---M--	200	added ('OK')	text/css	etag:%225b7a928507d31b9100008f95244e8d98%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/leaflet.css	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/css/leaflet.css	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index.html)
